,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"Image_Classification,CWE,31_134","(0.0, 0.0)","(0.9594594597816467, 0.8837837815284729)","(0.918918925523758, 0.7324324369430542)","(0.9405405342578887, 0.7405405402183532)","(0.9486486494541169, 0.6189189165830612)","(0.9243243217468262, 0.6594594538211822)","(0.8810810804367065, 0.6135135173797608)","(0.8567567527294159, 0.6378378391265869)","(0.8270270347595214, 0.5135135114192962)","(0.6837837785482407, 0.5540540516376495)","(0.5837837815284729, 0.5216216236352921)","(0.6540540546178818, 0.5486486434936524)",,,0.000 ,0.000 ,0.959 ,0.884 ,0.919 ,0.732 ,0.941 ,0.741 ,0.949 ,0.619 ,0.924 ,0.659 ,0.881 ,0.614 ,0.857 ,0.638 ,0.827 ,0.514 ,0.684 ,0.554 ,0.584 ,0.522 ,0.654 ,0.549 
"Image_Classification,CWE,31_190","(0.0, 0.0)","(0.840000006556511, 0.6933333426713943)","(0.9333333373069763, 0.853333342075348)","(0.6733333468437195, 0.6733333438634872)","(0.9200000047683716, 0.8200000047683715)","(0.6333333432674408, 0.4533333510160446)","(0.740000008046627, 0.44666667878627775)","(0.6800000101327897, 0.5200000107288361)","(0.566666679084301, 0.4866666793823242)","(0.5200000047683716, 0.5533333480358124)","(0.6000000149011612, 0.5200000122189522)","(0.5533333450555802, 0.5333333492279053)",,,0.000 ,0.000 ,0.840 ,0.693 ,0.933 ,0.853 ,0.673 ,0.673 ,0.920 ,0.820 ,0.633 ,0.453 ,0.740 ,0.447 ,0.680 ,0.520 ,0.567 ,0.487 ,0.520 ,0.553 ,0.600 ,0.520 ,0.553 ,0.533 
"Image_Classification,CWE,31_476","(0.0, 0.0)","(0.8622222185134888, 0.6155555605888366)","(0.7644444450736045, 0.5133333414793014)","(0.6688888862729072, 0.5400000065565109)","(0.7811111211776733, 0.5100000083446503)","(0.7611111134290696, 0.47333334386348724)","(0.6355555653572083, 0.5244444563984871)","(0.648888885974884, 0.47555555775761604)","(0.5833333387970925, 0.6588888943195343)","(0.5311111211776733, 0.6400000050663948)","(0.4877777874469757, 0.5744444563984871)","(0.481111116707325, 0.5177777782082558)",,,0.000 ,0.000 ,0.862 ,0.616 ,0.764 ,0.513 ,0.669 ,0.540 ,0.781 ,0.510 ,0.761 ,0.473 ,0.636 ,0.524 ,0.649 ,0.476 ,0.583 ,0.659 ,0.531 ,0.640 ,0.488 ,0.574 ,0.481 ,0.518 
"Image_Classification,CWE,31_479","(0.0, 0.0)","(0.32500000298023224, 0.5333333373069763)","(0.5500000059604645, 0.4916666686534882)","(0.5333333343267441, 0.5333333373069763)","(0.6833333373069763, 0.6000000029802323)","(0.5750000029802322, 0.4083333373069763)","(0.5583333373069763, 0.5583333373069763)","(0.6250000029802323, 0.5500000029802322)","(0.6666666716337204, 0.5916666716337204)","(0.4416666716337204, 0.5166666716337204)","(0.6333333402872086, 0.4833333343267441)","(0.5083333373069763, 0.5666666686534881)",,,0.000 ,0.000 ,0.325 ,0.533 ,0.550 ,0.492 ,0.533 ,0.533 ,0.683 ,0.600 ,0.575 ,0.408 ,0.558 ,0.558 ,0.625 ,0.550 ,0.667 ,0.592 ,0.442 ,0.517 ,0.633 ,0.483 ,0.508 ,0.567 
"Image_Classification,CWE,31_680","(0.0, 0.0)","(0.9583743870258331, 0.9931034445762634)","(0.934482753276825, 0.8586206912994385)","(0.9378078877925873, 0.9411330044269561)","(0.9068965494632721, 0.8964285731315613)","(0.8958128094673157, 0.6908866912126541)","(0.9103448212146759, 0.6172413766384125)","(0.8614532023668289, 0.6706896513700485)","(0.5881773412227631, 0.531280791759491)","(0.6208128035068512, 0.5513546854257584)","(0.5511083751916885, 0.6109605967998505)","(0.5376847207546234, 0.4818965494632721)",,,0.000 ,0.000 ,0.958 ,0.993 ,0.934 ,0.859 ,0.938 ,0.941 ,0.907 ,0.896 ,0.896 ,0.691 ,0.910 ,0.617 ,0.861 ,0.671 ,0.588 ,0.531 ,0.621 ,0.551 ,0.551 ,0.611 ,0.538 ,0.482 
"Image_Classification,CWE,31_758","(0.0, 0.0)","(0.967853844165802, 0.9893154501914978)","(0.9658649444580079, 0.9436632752418518)","(0.9786771535873413, 0.9054579079151154)","(0.9594357132911682, 0.871184092760086)","(0.8951433837413788, 0.9296022236347199)","(0.8251618862152099, 0.7017576336860657)","(0.8954209089279175, 0.6892229408025742)","(0.8496762275695801, 0.605087885260582)","(0.6497224807739258, 0.6216003656387329)","(0.6600370049476624, 0.4870952844619751)","(0.4767345070838928, 0.5765957474708557)",,,0.000 ,0.000 ,0.968 ,0.989 ,0.966 ,0.944 ,0.979 ,0.905 ,0.959 ,0.871 ,0.895 ,0.930 ,0.825 ,0.702 ,0.895 ,0.689 ,0.850 ,0.605 ,0.650 ,0.622 ,0.660 ,0.487 ,0.477 ,0.577 
"Image_Classification,CWE,31_761","(0.0, 0.0)","(0.9637987077236175, 0.9655519545078277)","(0.9384740173816681, 0.8168181836605072)","(0.9619155943393707, 0.8120454579591752)","(0.9490909099578857, 0.8225000143051148)","(0.9201948046684265, 0.7138961046934128)","(0.88204545378685, 0.7931168794631958)","(0.8639285564422607, 0.6738311737775803)","(0.8167532533407211, 0.5482792228460311)","(0.5996428549289703, 0.5945129752159118)","(0.5670779258012771, 0.46357143223285674)","(0.5761363685131073, 0.5888311713933945)",,,0.000 ,0.000 ,0.964 ,0.966 ,0.938 ,0.817 ,0.962 ,0.812 ,0.949 ,0.823 ,0.920 ,0.714 ,0.882 ,0.793 ,0.864 ,0.674 ,0.817 ,0.548 ,0.600 ,0.595 ,0.567 ,0.464 ,0.576 ,0.589 
"Image_Classification,CWE,31_789","(0.0, 0.0)","(0.9946126163005828, 0.9838198244571685)","(0.987837839126587, 0.9719099164009094)","(0.9946126163005828, 0.9918918967247009)","(0.9825045168399811, 0.8919459581375122)","(0.9744504570960999, 0.8683783859014511)","(0.9276396453380584, 0.7394594550132751)","(0.8299279332160949, 0.6666126102209091)","(0.7845765769481658, 0.6135855883359909)","(0.7944684624671936, 0.5243963956832886)","(0.6902522534132004, 0.509387394785881)","(0.6035315364599227, 0.5150270283222198)",,,0.000 ,0.000 ,0.995 ,0.984 ,0.988 ,0.972 ,0.995 ,0.992 ,0.983 ,0.892 ,0.974 ,0.868 ,0.928 ,0.739 ,0.830 ,0.667 ,0.785 ,0.614 ,0.794 ,0.524 ,0.690 ,0.509 ,0.604 ,0.515 
"Image_Classification,CWE,32_127","(0.0, 0.0)","(0.975, 0.9767857134342194)","(0.9946428596973419, 0.9410714209079742)","(0.9732142925262451, 0.9553571462631225)","(0.9767857253551483, 0.9571428596973419)","(0.9053571343421936, 0.8321428626775742)","(0.9392857253551483, 0.9232142865657806)","(0.9428571462631226, 0.9660714328289032)","(0.9464285731315613, 0.8160714328289032)","(0.9125000059604644, 0.9196428596973419)","(0.9410714387893677, 0.875)","(0.8089285671710968, 0.7839285671710968)",,,0.000 ,0.000 ,0.975 ,0.977 ,0.995 ,0.941 ,0.973 ,0.955 ,0.977 ,0.957 ,0.905 ,0.832 ,0.939 ,0.923 ,0.943 ,0.966 ,0.946 ,0.816 ,0.913 ,0.920 ,0.941 ,#VALUE!,0.809 ,0.784 
"Image_Classification,CWE,32_190","(0.0, 0.0)","(0.9866666674613953, 0.9800000011920929)","(0.9800000011920929, 0.9533333361148835)","(0.9933333337306977, 0.9533333361148835)","(0.9600000023841858, 0.9000000059604645)","(0.9800000011920929, 0.9866666674613953)","(0.946666669845581, 0.9400000035762787)","(0.9600000023841858, 0.7533333420753479)","(0.9200000047683716, 0.733333346247673)","(0.9000000059604645, 0.8866666734218598)","(0.9133333384990692, 0.7333333432674408)","(0.5533333443105221, 0.5800000131130219)",,,0.000 ,0.000 ,0.987 ,0.980 ,0.980 ,0.953 ,0.993 ,0.953 ,0.960 ,0.900 ,0.980 ,0.987 ,0.947 ,0.940 ,0.960 ,0.753 ,0.920 ,0.733 ,0.900 ,0.887 ,0.913 ,0.733 ,0.553 ,0.580 
"Image_Classification,Malware,19","(0.0, 0.0)","(0.8814918994903564, 0.9741700768470765)","(0.8160916268825531, 0.9731956601142884)","(0.8559343636035919, 0.9744246661663055)","(0.8255480408668519, 0.973202782869339)","(0.7360868860036135, 0.5095238268375397)","(0.5128496833145618, 0.5904762148857117)","(0.7604765281081199, 0.4666666805744171)","(0.5735113678500057, 0.5190476387739181)","(0.2402201673015952, 0.5095238238573074)","(0.5178855862468481, 0.44761906266212464)","(0.5907673144713044, 0.4714285910129547)",,,0.000 ,0.000 ,0.881 ,0.974 ,0.816 ,0.973 ,0.856 ,0.974 ,0.826 ,0.973 ,0.736 ,0.510 ,0.513 ,0.590 ,0.760 ,0.467 ,0.574 ,0.519 ,0.240 ,0.510 ,0.518 ,0.448 ,0.591 ,0.471 
"Image_Classification,Malware,20","(0.0, 0.0)","(0.8113921999931335, 0.5809524029493331)","(0.7990611881017685, 0.5238095432519912)","(0.7499210737645626, 0.519047635793686)","(0.7424568295478821, 0.5000000119209289)","(0.46190478205680846, 0.5380952596664429)","(0.4904762029647827, 0.5047619223594666)","(0.5190476328134537, 0.504761916399002)","(0.5285714447498322, 0.5380952507257462)","(0.5285714417695999, 0.5380952507257462)","(0.5285714477300644, 0.471428582072258)","(0.4952381104230881, 0.49047620594501495)",,,0.000 ,0.000 ,0.811 ,0.581 ,0.799 ,0.524 ,0.750 ,0.519 ,0.742 ,0.500 ,0.462 ,0.538 ,0.490 ,0.505 ,0.519 ,0.505 ,0.529 ,0.538 ,0.529 ,0.538 ,0.529 ,0.471 ,0.495 ,0.490 
"Image_Classification,Malware,21","(0.0, 0.0)","(0.8778226872906089, 0.6909827409312129)","(0.5968411311507225, 0.5934217607602477)","(0.6909667085856199, 0.49928313195705415)","(0.5895353441126645, 0.8812474105507135)","(0.5885502368211746, 0.48571430146694183)","(0.694618727825582, 0.4904762089252472)","(0.49732657419517634, 0.5047619178891182)","(0.6904895784333348, 0.5095238283276557)","(0.4041291307657957, 0.5000000119209289)","(0.4987923527136445, 0.5238095402717591)","(0.40658062510192394, 0.4666666775941849)",,,0.000 ,0.000 ,0.878 ,0.691 ,0.597 ,0.593 ,0.691 ,0.499 ,0.590 ,0.881 ,0.589 ,0.486 ,0.695 ,0.490 ,0.497 ,0.505 ,0.690 ,0.510 ,0.404 ,0.500 ,0.499 ,0.524 ,0.407 ,0.467 
"Image_Classification,Malware,22","(0.0, 0.0)","(0.9722313284873962, 0.9741700768470765)","(0.97174232006073, 0.9731956601142884)","(0.9714966535568237, 0.9744246661663055)","(0.9707667231559753, 0.973202782869339)","(0.9749047517776489, 0.5095238268375397)","(0.9749100983142853, 0.5904762148857117)","(0.974909508228302, 0.4666666805744171)","(0.9744199097156525, 0.5190476387739181)","(0.9627363383769989, 0.5095238238573074)","(0.9425143897533417, 0.44761906266212464)","(0.8582256257534027, 0.4714285910129547)",,,0.000 ,0.000 ,0.972 ,0.974 ,0.972 ,0.973 ,0.971 ,0.974 ,0.971 ,0.973 ,0.975 ,0.510 ,0.975 ,0.590 ,0.975 ,0.467 ,0.974 ,0.519 ,0.963 ,0.510 ,0.943 ,0.448 ,0.858 ,0.471 
"Image_Classification,Malware,23","(0.0, 0.0)","(0.509523817896843, 0.5809524029493331)","(0.4904761999845505, 0.5238095432519912)","(0.42857143878936765, 0.519047635793686)","(0.5000000149011612, 0.5000000119209289)","(0.42857144176959994, 0.5380952596664429)","(0.4904762029647827, 0.5047619223594666)","(0.5190476328134537, 0.504761916399002)","(0.428571443259716, 0.5380952507257462)","(0.42380953282117845, 0.5380952507257462)","(0.4285714402794838, 0.471428582072258)","(0.49523810744285585, 0.49047620594501495)",,,0.000 ,0.000 ,0.510 ,0.581 ,0.490 ,0.524 ,0.429 ,0.519 ,0.500 ,0.500 ,0.429 ,0.538 ,0.490 ,0.505 ,0.519 ,0.505 ,0.429 ,0.538 ,0.424 ,0.538 ,0.429 ,0.471 ,0.495 ,0.490 
"Image_Classification,Malware,24","(0.0, 0.0)","(0.974422299861908, 0.6909827409312129)","(0.97442347407341, 0.5934217607602477)","(0.9744199216365814, 0.49928313195705415)","(0.9744205117225647, 0.8812474105507135)","(0.9744217038154602, 0.48571430146694183)","(0.9744222939014435, 0.4904762089252472)","(0.9744240820407868, 0.5047619178891182)","(0.974421101808548, 0.5095238283276557)","(0.9744163513183594, 0.5000000119209289)","(0.9744264602661132, 0.5238095402717591)","(0.9744193255901337, 0.4666666775941849)",,,0.000 ,0.000 ,0.974 ,0.691 ,0.974 ,0.593 ,0.974 ,0.499 ,0.974 ,0.881 ,0.974 ,0.486 ,0.974 ,0.490 ,0.974 ,0.505 ,0.974 ,0.510 ,0.974 ,0.500 ,0.974 ,0.524 ,0.974 ,0.467 
"Image_Classification,Malware,25","(0.0, 0.0)","(0.5761904895305634, 0.5476190656423569)","(0.5904762059450149, 0.43333334773778914)","(0.4666666805744171, 0.5047619223594666)","(0.6285714477300643, 0.4809523940086365)","(0.5190476328134537, 0.5142857253551483)","(0.4809523940086365, 0.5095238238573074)","(0.48095239251852034, 0.49047620594501495)","(0.5523809760808944, 0.5000000089406967)","(0.5476190581917763, 0.44285715371370316)","(0.5238095376640558, 0.4809523940086365)","(0.5952381134033203, 0.4238095313310623)",,,0.000 ,0.000 ,0.576 ,0.548 ,0.590 ,0.433 ,0.467 ,0.505 ,0.629 ,0.481 ,0.519 ,0.514 ,0.481 ,0.510 ,0.481 ,0.490 ,0.552 ,0.500 ,0.548 ,0.443 ,0.524 ,0.481 ,0.595 ,0.424 
"Image_Classification,Malware,26","(0.0, 0.0)","(0.5285714432597161, 0.6619047790765762)","(0.5809523969888687, 0.5952381134033203)","(0.6666666805744171, 0.6476190656423568)","(0.5714285880327225, 0.6000000208616256)","(0.4285714402794838, 0.6142857313156128)","(0.5523809671401978, 0.614285734295845)","(0.5000000149011612, 0.6571428716182709)","(0.4380952462553978, 0.5952381134033203)","(0.42857143729925157, 0.5857143044471741)","(0.45714287012815474, 0.5476190596818924)","(0.428571443259716, 0.5142857283353806)",,,0.000 ,0.000 ,0.529 ,0.662 ,0.581 ,0.595 ,0.667 ,0.648 ,0.571 ,0.600 ,0.429 ,0.614 ,0.552 ,0.614 ,0.500 ,0.657 ,0.438 ,0.595 ,0.429 ,0.586 ,0.457 ,0.548 ,0.429 ,0.514 
"Image_Classification,Malware,27","(0.0, 0.0)","(0.580952399969101, 0.519047635793686)","(0.4666666775941849, 0.47142858505249025)","(0.5190476387739181, 0.5285714447498322)","(0.4714285835623741, 0.5238095402717591)","(0.5095238238573074, 0.519047635793686)","(0.48571430444717406, 0.5476190626621247)","(0.471428582072258, 0.5238095432519912)","(0.5142857313156128, 0.42857144176959994)","(0.4476190596818924, 0.4952381134033203)","(0.5904762148857117, 0.5238095313310623)","(0.4809523940086365, 0.5285714477300644)",,,0.000 ,0.000 ,0.581 ,0.519 ,0.467 ,0.471 ,0.519 ,0.529 ,0.471 ,0.524 ,0.510 ,0.519 ,0.486 ,0.548 ,0.471 ,0.524 ,0.514 ,0.429 ,0.448 ,0.495 ,0.590 ,0.524 ,0.481 ,0.529 
"Image_Classification,Malware,28","(0.0, 0.0)","(0.5238095432519912, 0.5476190656423569)","(0.5095238298177719, 0.43333334773778914)","(0.533333346247673, 0.5047619223594666)","(0.5333333492279053, 0.4809523940086365)","(0.40000000447034834, 0.5142857253551483)","(0.42857143729925157, 0.5095238238573074)","(0.37619048207998274, 0.49047620594501495)","(0.3666666731238365, 0.5000000089406967)","(0.3523809626698494, 0.44285715371370316)","(0.38571429178118705, 0.4809523940086365)","(0.3619047671556473, 0.4238095313310623)",,,0.000 ,0.000 ,0.524 ,0.548 ,0.510 ,0.433 ,0.533 ,0.505 ,0.533 ,0.481 ,0.400 ,0.514 ,0.429 ,0.510 ,0.376 ,0.490 ,0.367 ,0.500 ,0.352 ,0.443 ,0.386 ,0.481 ,0.362 ,0.424 
"Image_Classification,Malware,29","(0.0, 0.0)","(0.5904761999845505, 0.6619047790765762)","(0.5333333492279053, 0.5952381134033203)","(0.4619047775864601, 0.6476190656423568)","(0.5523809731006623, 0.6000000208616256)","(0.39523810148239136, 0.6142857313156128)","(0.40476191565394404, 0.614285734295845)","(0.3761904872953892, 0.6571428716182709)","(0.35714286416769025, 0.5952381134033203)","(0.3476190574467182, 0.5857143044471741)","(0.31428571939468386, 0.5476190596818924)","(0.3904762014746666, 0.5142857283353806)",,,0.000 ,0.000 ,0.590 ,0.662 ,0.533 ,0.595 ,0.462 ,0.648 ,0.552 ,0.600 ,0.395 ,0.614 ,0.405 ,0.614 ,0.376 ,0.657 ,0.357 ,0.595 ,0.348 ,0.586 ,0.314 ,0.548 ,0.390 ,0.514 
"Image_Classification,Malware,30","(0.0, 0.0)","(0.5000000178813935, 0.519047635793686)","(0.5000000119209289, 0.47142858505249025)","(0.5000000178813935, 0.5285714447498322)","(0.5000000119209289, 0.5238095402717591)","(0.5000000149011612, 0.519047635793686)","(0.5000000149011612, 0.5476190626621247)","(0.5000000089406967, 0.5238095432519912)","(0.5000000178813935, 0.42857144176959994)","(0.5000000149011612, 0.4952381134033203)","(0.5000000119209289, 0.5238095313310623)","(0.5000000119209289, 0.5285714477300644)",,,0.000 ,0.000 ,0.500 ,0.519 ,0.500 ,0.471 ,0.500 ,0.529 ,0.500 ,0.524 ,0.500 ,0.519 ,0.500 ,0.548 ,0.500 ,0.524 ,0.500 ,0.429 ,0.500 ,0.495 ,0.500 ,0.524 ,0.500 ,0.529 
"Image_Classification,Malware,31","(0.0, 0.0)","(0.6619047790765762, 0.5476190656423569)","(0.5904762119054794, 0.43333334773778914)","(0.6285714477300643, 0.5047619223594666)","(0.6666666865348816, 0.4809523940086365)","(0.580952399969101, 0.5142857253551483)","(0.5476190611720085, 0.5095238238573074)","(0.5476190626621247, 0.49047620594501495)","(0.5476190656423569, 0.5000000089406967)","(0.5619047850370407, 0.44285715371370316)","(0.4904762029647827, 0.4809523940086365)","(0.4904762014746666, 0.4238095313310623)",,,0.000 ,0.000 ,0.662 ,0.548 ,0.590 ,0.433 ,0.629 ,0.505 ,0.667 ,0.481 ,0.581 ,0.514 ,0.548 ,0.510 ,0.548 ,0.490 ,0.548 ,0.500 ,0.562 ,0.443 ,0.490 ,0.481 ,0.490 ,0.424 
"Image_Classification,Malware,32","(0.0, 0.0)","(0.7142857313156128, 0.6619047790765762)","(0.7285714447498322, 0.5952381134033203)","(0.680952399969101, 0.6476190656423568)","(0.6857143044471741, 0.6000000208616256)","(0.6952381134033203, 0.6142857313156128)","(0.6666666865348816, 0.614285734295845)","(0.6571428745985031, 0.6571428716182709)","(0.6571428716182709, 0.5952381134033203)","(0.5714285910129547, 0.5857143044471741)","(0.5904762059450149, 0.5476190596818924)","(0.5761904925107956, 0.5142857283353806)",,,0.000 ,0.000 ,0.714 ,0.662 ,0.729 ,0.595 ,0.681 ,0.648 ,0.686 ,0.600 ,0.695 ,0.614 ,0.667 ,0.614 ,0.657 ,0.657 ,0.657 ,0.595 ,0.571 ,0.586 ,0.590 ,0.548 ,0.576 ,0.514 
"Image_Classification,Malware,33","(0.0, 0.0)","(0.5571428716182709, 0.519047635793686)","(0.4523809626698494, 0.47142858505249025)","(0.5333333507180213, 0.5285714447498322)","(0.5238095372915268, 0.5238095402717591)","(0.43809524923563004, 0.519047635793686)","(0.5047619253396988, 0.5476190626621247)","(0.5047619208693505, 0.5238095432519912)","(0.5190476328134537, 0.42857144176959994)","(0.519047635793686, 0.4952381134033203)","(0.5000000178813935, 0.5238095313310623)","(0.5238095372915268, 0.5285714477300644)",,,0.000 ,0.000 ,0.557 ,0.519 ,0.452 ,0.471 ,0.533 ,0.529 ,0.524 ,0.524 ,0.438 ,0.519 ,0.505 ,0.548 ,0.505 ,0.524 ,0.519 ,0.429 ,0.519 ,0.495 ,0.500 ,0.524 ,0.524 ,0.529 
"CFG,CWE,13_127","(0.0, 0.0)","(0.5416666656732559, 0.5576923012733459)","(0.5365384519100189, 0.49230768978595735)","(0.48397436141967776, 0.4282051332294941)","(0.46794871985912323, 0.45000000298023224)","(0.4743589714169502, 0.5564102470874787)","(0.46794872134923937, 0.3525640994310379)","(0.4269230827689171, 0.48397435545921325)","(0.48141026496887207, 0.5173076897859573)","(0.548717950284481, 0.5083333373069763)","(0.49230768382549284, 0.5019230797886849)","(0.4410256415605545, 0.4660256415605545)",,,0.000 ,0.000 ,0.542 ,0.558 ,0.537 ,0.492 ,0.484 ,0.428 ,0.468 ,0.450 ,0.474 ,0.556 ,0.468 ,0.353 ,0.427 ,0.484 ,0.481 ,0.517 ,0.549 ,0.508 ,0.492 ,0.502 ,0.441 ,0.466 
"CFG,CWE,13_134","(0.0, 0.46666666865348816)","(0.47666667550802233, 0.5800000071525574)","(0.48333334028720853, 0.4500000089406967)","(0.5000000059604645, 0.5166666716337204)","(0.5633333429694176, 0.4900000125169754)","(0.5766666740179062, 0.5533333376049996)","(0.4600000098347664, 0.75)","(0.33000000566244125, 0.5000000059604645)","(0.5300000116229058, 0.536666676402092)","(0.5366666749119758, 0.5966666653752327)","(0.5300000086426735, 0.41333334147930145)","(0.41333334147930145, 0.6033333376049995)",,,0.000 ,0.467 ,0.477 ,0.580 ,0.483 ,0.450 ,0.500 ,0.517 ,0.563 ,0.490 ,0.577 ,0.553 ,0.460 ,#VALUE!,0.330 ,0.500 ,0.530 ,0.537 ,0.537 ,0.597 ,0.530 ,0.413 ,0.413 ,0.603 
"CFG,CWE,13_190","(0.0, 0.0)","(0.4200000062584877, 0.4550000071525574)","(0.5600000143051147, 0.4800000086426735)","(0.5900000125169754, 0.4150000065565109)","(0.7150000095367431, 0.5300000071525574)","(0.46000000834465027, 0.5650000140070915)","(0.4500000089406967, 0.5000000119209289)","(0.5200000077486038, 0.6250000119209289)","(0.39500000774860383, 0.4850000083446503)","(0.5400000080466271, 0.4550000086426735)","(0.4850000083446503, 0.43000001162290574)","(0.5300000086426735, 0.6450000166893005)",,,0.000 ,0.000 ,0.420 ,0.455 ,0.560 ,0.480 ,0.590 ,0.415 ,0.715 ,0.530 ,0.460 ,0.565 ,0.450 ,0.500 ,0.520 ,0.625 ,0.395 ,0.485 ,0.540 ,0.455 ,0.485 ,0.430 ,0.530 ,0.645 
"CFG,CWE,15_127","(0.0, 0.0)","(0.5211538508534431, 0.4916666716337204)","(0.517948716878891, 0.55)","(0.5076923161745072, 0.4865384563803673)","(0.5384615391492844, 0.5423076957464218)","(0.433333333581686, 0.5230769246816636)","(0.5724359005689621, 0.41089743822813035)","(0.5249999985098839, 0.47371795773506165)","(0.5339743614196777, 0.5647435873746872)","(0.5, 0.5487179517745971)","(0.5076923042535781, 0.5230769217014313)","(0.4166666716337204, 0.46666666865348816)",,,0.000 ,0.000 ,0.521 ,0.492 ,0.518 ,#VALUE!,0.508 ,0.487 ,0.538 ,0.542 ,0.433 ,0.523 ,0.572 ,0.411 ,0.525 ,0.474 ,0.534 ,0.565 ,0.500 ,0.549 ,0.508 ,0.523 ,0.417 ,0.467 
"CFG,CWE,15_134","(0.0, 0.0)","(0.5900000095367431, 0.5833333447575569)","(0.6266666740179062, 0.590000008046627)","(0.6000000059604644, 0.5333333417773247)","(0.4833333447575569, 0.4366666704416275)","(0.5733333349227905, 0.46333333998918536)","(0.46000000536441804, 0.49333334118127825)","(0.623333340883255, 0.46000000834465027)","(0.5033333420753479, 0.486666676402092)","(0.5866666734218597, 0.6100000068545341)","(0.5733333468437195, 0.4833333447575569)","(0.4233333423733711, 0.6233333438634873)",,,0.000 ,0.000 ,0.590 ,0.583 ,0.627 ,0.590 ,0.600 ,0.533 ,0.483 ,0.437 ,0.573 ,0.463 ,0.460 ,0.493 ,0.623 ,0.460 ,0.503 ,0.487 ,0.587 ,0.610 ,0.573 ,0.483 ,0.423 ,0.623 
"CFG,CWE,15_190","(0.0, 0.0)","(0.5000000074505806, 0.38000000417232516)","(0.590000008046627, 0.49000001400709153)","(0.46500000953674314, 0.5050000101327896)","(0.4800000086426735, 0.600000011920929)","(0.5800000116229057, 0.5100000098347663)","(0.5400000110268592, 0.5500000089406967)","(0.360000005364418, 0.5400000080466271)","(0.46500000804662706, 0.6100000068545341)","(0.5350000128149986, 0.4550000116229057)","(0.5600000113248825, 0.5950000137090683)","(0.49000000953674316, 0.4950000077486038)",,,0.000 ,0.000 ,0.500 ,0.380 ,0.590 ,0.490 ,0.465 ,0.505 ,0.480 ,0.600 ,0.580 ,0.510 ,0.540 ,0.550 ,0.360 ,0.540 ,0.465 ,0.610 ,0.535 ,0.455 ,0.560 ,0.595 ,0.490 ,0.495 
"CFG,CWE,16_127","(0.0, 0.0)","(0.5032051220536232, 0.5576923012733459)","(0.5006410241127014, 0.49230768978595735)","(0.4993589758872986, 0.4282051332294941)","(0.5006410241127014, 0.45000000298023224)","(0.4980769298970699, 0.5564102470874787)","(0.5006410241127014, 0.3525640994310379)","(0.5006410226225853, 0.48397435545921325)","(0.49807692766189576, 0.5173076897859573)","(0.5019230723381043, 0.5083333373069763)","(0.5, 0.5019230797886849)","(0.4987179547548294, 0.4660256415605545)",,,0.000 ,0.000 ,0.503 ,0.558 ,0.501 ,0.492 ,0.499 ,0.428 ,0.501 ,0.450 ,0.498 ,0.556 ,0.501 ,0.353 ,0.501 ,0.484 ,0.498 ,0.517 ,0.502 ,0.508 ,0.500 ,0.502 ,0.499 ,0.466 
"CFG,CWE,16_134","(0.0, 0.0)","(0.4966666743159294, 0.4633333384990692)","(0.4966666728258133, 0.5533333420753479)","(0.5166666731238365, 0.5000000104308129)","(0.5066666752099991, 0.6266666769981384)","(0.49333334118127825, 0.4233333423733711)","(0.49666666984558105, 0.5733333468437195)","(0.4966666787862778, 0.49666667729616165)","(0.4933333367109299, 0.4633333429694176)","(0.5033333465456963, 0.5200000122189522)","(0.5033333390951157, 0.4433333396911621)","(0.5033333450555801, 0.4900000035762787)",,,0.000 ,0.000 ,0.497 ,0.463 ,0.497 ,0.553 ,0.517 ,0.500 ,0.507 ,0.627 ,0.493 ,0.423 ,0.497 ,0.573 ,0.497 ,0.497 ,0.493 ,0.463 ,0.503 ,0.520 ,0.503 ,0.443 ,0.503 ,0.490 
"CFG,CWE,16_190","(0.0, 0.0)","(0.5000000119209289, 0.4550000071525574)","(0.510000005364418, 0.4800000086426735)","(0.49500001072883604, 0.4150000065565109)","(0.5100000098347663, 0.5300000071525574)","(0.4950000137090683, 0.5650000140070915)","(0.5050000086426735, 0.5000000119209289)","(0.4900000110268593, 0.6250000119209289)","(0.5000000104308129, 0.4850000083446503)","(0.48000001162290573, 0.4550000086426735)","(0.5000000104308129, 0.43000001162290574)","(0.4900000125169754, 0.6450000166893005)",,,0.000 ,0.000 ,0.500 ,0.455 ,0.510 ,0.480 ,0.495 ,0.415 ,0.510 ,0.530 ,0.495 ,0.565 ,0.505 ,0.500 ,0.490 ,0.625 ,0.500 ,0.485 ,0.480 ,0.455 ,0.500 ,0.430 ,0.490 ,0.645 
